stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 3,,20k,8.0,2094.6200000000003,102.25071002198462,3,,75-25,sensitive
Stage 3,,20k,9.0,2307.6466666666665,377.92425091985467,3,,75-25,sensitive
Stage 3,,20k,10.0,2381.6866666666665,74.22036265967266,3,,75-25,sensitive
Stage 3,,20k,11.0,2366.4933333333333,276.06447731161177,3,,75-25,sensitive
Stage 3,,20k,12.0,2527.433333333333,230.99697018215053,3,,75-25,sensitive
Stage 3,,20k,13.0,2828.8733333333334,345.6057922450569,3,,75-25,sensitive
Stage 3,,20k,14.0,2795.03,290.907549747338,3,,75-25,sensitive
Stage 3,,30k,1.0,61.04666666666666,17.621130308051562,3,,25-75,resistant
Stage 3,,30k,2.0,103.61333333333334,24.01227672115523,3,,25-75,resistant
Stage 3,,30k,3.0,178.24333333333334,50.1921550975183,3,,25-75,resistant
Stage 3,,30k,4.0,362.33,70.00541193364981,3,,25-75,resistant
Stage 3,,30k,5.0,757.4333333333334,141.3904686792336,3,,25-75,resistant
Stage 3,,30k,6.0,1086.1066666666666,116.49572109452488,3,,25-75,resistant
Stage 3,,30k,7.0,1566.3499999999997,168.36476145559675,3,,25-75,resistant
Stage 3,,30k,8.0,1943.8999999999999,139.2436637696667,3,,25-75,resistant
Stage 3,,30k,9.0,2446.5499999999997,199.09208020411066,3,,25-75,resistant
Stage 3,,30k,10.0,1824.6066666666666,98.76762644375601,3,,25-75,resistant
Stage 3,,30k,11.0,3249.733333333333,45.081323553477525,3,,25-75,resistant
Stage 3,,30k,12.0,1631.7300000000002,89.74481544913884,3,,25-75,resistant
Stage 3,,30k,13.0,2673.606666666667,83.9672652486271,3,,25-75,resistant
