cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_percent,parameter_scope
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,20k,r,0.6234536840609176,0.6332174367318467,1.5660750622776165,independent_diagnostic
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,30k,r,0.6234536840609176,0.6138404813601711,-1.5419273229937636,independent_diagnostic
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,20k,K,3810.0442723938304,3815.8595445611213,0.1526300418456028,independent_diagnostic
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,30k,K,3810.0442723938304,3804.2378625523106,-0.15239743757285984,independent_diagnostic
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,20k,theta,2.017585330988493,2.0329657132082843,0.7623163185993098,independent_diagnostic
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,30k,theta,2.017585330988493,2.002321308899957,-0.7565490219468285,independent_diagnostic
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,20k,lag_time,1.257623119144232,1.229138352532734,-2.2649684295626527,independent_diagnostic
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,30k,lag_time,1.257623119144232,1.2867680082937987,2.317458124449767,independent_diagnostic
A2780cis,baranyi_theta_logistic_growth,shared,20k,r,0.8409304462110382,0.8409304462110382,0.0,shared_across_densities
A2780cis,baranyi_theta_logistic_growth,shared,30k,r,0.8409304462110382,0.8409304462110382,0.0,shared_across_densities
A2780cis,baranyi_theta_logistic_growth,shared,20k,K,3821.135954881842,3821.135954881842,0.0,shared_across_densities
A2780cis,baranyi_theta_logistic_growth,shared,30k,K,3821.135954881842,3821.135954881842,0.0,shared_across_densities
